method,treatment,pred_strike,pred_mort,n,k
total_obs,all,44.79,,355,159
total_obs,500_1,47.22,,108,51
total_obs,400_1,39.23,,130,51
total_obs,400_07,48.72,,117,57
total_util,all,45.74,,258,118
total_util,500_1,50,19.4,76,38
total_util,400_1,39.22,8.71,102,40
total_util,400_07,50,9.97,80,40
esch_2014,500_1,38.66,38.19,76,38
esch_2014,400_1,38.88,26.25,102,40
esch_2014,400_07,55.93,37.76,80,40
cen_2025,500_1,45.33,17.78,76,38
cen_2025,400_1,45.59,10.25,102,40
cen_2025,400_07,65.57,13.23,80,40
mini,500_1,51.31,19.91,76,39
mini,400_1,36.27,8.06,102,37
mini,400_07,55,10.97,80,44
total_util,500_1_excl,36.84,14.29,76,28
total_util,400_1_excl,30.39,6.75,102,31
total_util,400_07_excl,42.5,8.48,80,34
mini,500_1_excl,45.45,17.63,66,30
mini,400_1_excl,33.33,7.41,93,31
mini,400_07_excl,52.7,10.51,74,39
