panel,metric,method,treatment,n,estimate,ci_95,prob_raw,ci_lo_raw,ci_hi_raw
"A (collision, full)",collision,total_obs,500 (100%),108,47.22%,[38.06 – 56.57%],0.4722,0.3806,0.5657
"A (collision, full)",collision,total_util,500 (100%),76,50.00%,[39.03 – 60.97%],0.5,0.3903,0.6097
"A (collision, full)",collision,MiniRocket,500 (100%),76,51.31%,[40.29 – 62.22%],0.5131,0.4029,0.6222
"A (collision, full)",collision,esch_2014,500 (100%),76,38.66%,[28.06 – 49.40%],0.3866,0.2806,0.494
"A (collision, full)",collision,cen_2025,500 (100%),76,45.33%,[34.08 – 55.90%],0.4533,0.3408,0.559
"A (collision, full)",collision,Threshold_400g,500 (100%),76,38.16%,[28.06 – 49.40%],0.3816,0.2806,0.494
"A (collision, full)",collision,Threshold_200g,500 (100%),76,43.42%,[32.86 – 54.61%],0.4342,0.3286,0.5461
"A (collision, full)",collision,Threshold_95g,500 (100%),76,50.00%,[39.03 – 60.97%],0.5,0.3903,0.6097
"B (mortality, full)",mortality,total_util,500 (100%),76,19.40%,[12.34 – 30.04%],0.194,0.1234,0.3004
"B (mortality, full)",mortality,MiniRocket,500 (100%),76,19.91%,[12.34 – 30.04%],0.1991,0.1234,0.3004
"B (mortality, full)",mortality,esch_2014,500 (100%),76,38.19%,[28.06 – 49.40%],0.3819,0.2806,0.494
"B (mortality, full)",mortality,cen_2025,500 (100%),76,17.78%,[11.30 – 28.58%],0.1778,0.113,0.2858
"C (collision, excl)",collision,total_util_leading,500 (100%),76,36.84%,[26.88 – 48.08%],0.3684,0.2688,0.4808
"C (collision, excl)",collision,MiniRocket_leading,500 (100%),66,45.45%,[34.02 – 57.39%],0.4545,0.3402,0.5739
"C (collision, excl)",collision,esch_2014,500 (100%),66,38.66%,[28.50 – 51.45%],0.3866,0.285,0.5145
"C (collision, excl)",collision,cen_2025,500 (100%),66,45.33%,[34.02 – 57.39%],0.4533,0.3402,0.5739
"C (collision, excl)",collision,Threshold_400g,500 (100%),66,40.91%,[29.87 – 52.95%],0.4091,0.2987,0.5295
"C (collision, excl)",collision,Threshold_200g,500 (100%),66,45.45%,[34.02 – 57.39%],0.4545,0.3402,0.5739
"C (collision, excl)",collision,Threshold_95g,500 (100%),66,48.48%,[36.85 – 60.29%],0.4848,0.3685,0.6029
