method,n,TP,TN,FP,FN,FPR,FNR,precision,recall,F1,accuracy,strike_type,n_files
MiniRocket,140,0,132,8,0,0.0571,,0.0,,,0.9429,no_contact,140
MiniRocket,23,23,0,0,0,,0.0,1.0,1.0,1.0,1.0,leading_indirect,23
MiniRocket,70,69,0,0,1,,0.0143,1.0,0.9857,0.9928,0.9857,leading_direct,70
MiniRocket,18,17,0,0,1,,0.0556,1.0,0.9444,0.9714,0.9444,other_impeller_hub,18
MiniRocket,7,3,0,0,4,,0.5714,1.0,0.4286,0.6,0.4286,other_impeller_surface,7
Threshold_95g,140,0,124,16,0,0.1143,,0.0,,,0.8857,no_contact,140
Threshold_95g,23,23,0,0,0,,0.0,1.0,1.0,1.0,1.0,leading_indirect,23
Threshold_95g,70,70,0,0,0,,0.0,1.0,1.0,1.0,1.0,leading_direct,70
Threshold_95g,18,16,0,0,2,,0.1111,1.0,0.8889,0.9412,0.8889,other_impeller_hub,18
Threshold_95g,7,3,0,0,4,,0.5714,1.0,0.4286,0.6,0.4286,other_impeller_surface,7
Threshold_200g,140,0,131,9,0,0.0643,,0.0,,,0.9357,no_contact,140
Threshold_200g,23,22,0,0,1,,0.0435,1.0,0.9565,0.9778,0.9565,leading_indirect,23
Threshold_200g,70,70,0,0,0,,0.0,1.0,1.0,1.0,1.0,leading_direct,70
Threshold_200g,18,10,0,0,8,,0.4444,1.0,0.5556,0.7143,0.5556,other_impeller_hub,18
Threshold_200g,7,1,0,0,6,,0.8571,1.0,0.1429,0.25,0.1429,other_impeller_surface,7
Threshold_400g,140,0,135,5,0,0.0357,,0.0,,,0.9643,no_contact,140
Threshold_400g,23,18,0,0,5,,0.2174,1.0,0.7826,0.878,0.7826,leading_indirect,23
Threshold_400g,70,65,0,0,5,,0.0714,1.0,0.9286,0.963,0.9286,leading_direct,70
Threshold_400g,18,8,0,0,10,,0.5556,1.0,0.4444,0.6154,0.4444,other_impeller_hub,18
Threshold_400g,7,1,0,0,6,,0.8571,1.0,0.1429,0.25,0.1429,other_impeller_surface,7
