method,treatment,n_fish,n_true_strike,n_pred_strike,strike_prob,ci_lower,ci_upper
MiniRocket,400 (100%),93,31,29,0.3118,0.2267,0.4119
MiniRocket,400 (70%),74,34,31,0.4189,0.3132,0.5326
MiniRocket,500 (100%),66,28,28,0.4242,0.3124,0.5444
Threshold_95g,400 (100%),93,31,37,0.3978,0.3043,0.4995
Threshold_95g,400 (70%),74,34,40,0.5405,0.4278,0.6493
Threshold_95g,500 (100%),66,28,32,0.4848,0.3685,0.6029
Threshold_200g,400 (100%),93,31,33,0.3548,0.2651,0.4561
Threshold_200g,400 (70%),74,34,38,0.5135,0.4018,0.6239
Threshold_200g,500 (100%),66,28,30,0.4545,0.3402,0.5739
Threshold_400g,400 (100%),93,31,30,0.3226,0.2362,0.423
Threshold_400g,400 (70%),74,34,31,0.4189,0.3132,0.5326
Threshold_400g,500 (100%),66,28,27,0.4091,0.2987,0.5295
