method,treatment,n_fish,n_true_strike,n_pred_strike,strike_prob,ci_lower,ci_upper
MiniRocket,400 (100%),97,35,28,0.2887,0.2079,0.3855
MiniRocket,400 (70%),73,33,34,0.4658,0.3559,0.579
MiniRocket,500 (100%),69,31,31,0.4493,0.3377,0.5662
Threshold_50ms,400 (100%),97,35,96,0.9897,0.9439,0.9982
Threshold_50ms,400 (70%),73,33,73,1.0,0.95,1.0
Threshold_50ms,500 (100%),69,31,69,1.0,0.9473,1.0
Threshold_100ms,400 (100%),97,35,52,0.5361,0.4374,0.6321
Threshold_100ms,400 (70%),73,33,67,0.9178,0.8321,0.9618
Threshold_100ms,500 (100%),69,31,62,0.8986,0.8051,0.95
Threshold_150ms,400 (100%),97,35,30,0.3093,0.226,0.407
Threshold_150ms,400 (70%),73,33,41,0.5616,0.4476,0.6695
Threshold_150ms,500 (100%),69,31,40,0.5797,0.4621,0.6889
